time,x_est,y_est,z_est,vx_est,vy_est,vz_est,clock_bias,clock_drift
2024-05-12 00:00:00,-465117.5766849518,1366779.0328660011,1541013.7063474655,-28018108.378303155,82327617.12193482,92934773.6584189,967.7170370072126,970968.6784287571
2024-05-12 00:30:00,-50401164030.45608,148097348580.46274,167178456164.5212,-27982668.191562835,82223473.76854283,92817354.28693095,1747744588.8887997,970968.6784287571
2024-05-12 01:00:00,-100769966775.26646,296099601363.83185,334249693880.988,-27982668.19155982,82223473.76853397,92817354.28692095,3495488210.060562,970968.6784287571
2024-05-12 01:30:00,-151138769520.0735,444101854147.191,501320931597.4434,-27982668.19155907,82223473.76853175,92817354.28691845,5243231831.232325,970968.6784287571
2024-05-12 02:00:00,-201507572264.87952,592104106930.5472,668392169313.8956,-27982668.191558734,82223473.76853077,92817354.28691733,6990975452.404087,970968.6784287571
2024-05-12 02:30:00,-251876375009.68506,740106359713.9021,835463407030.3462,-27982668.191558544,82223473.76853022,92817354.2869167,8738719073.57585,970968.6784287571
2024-05-12 03:00:00,-302245177754.4903,888108612497.2561,1002534644746.7959,-27982668.191558424,82223473.76852986,92817354.2869163,10486462694.747612,970968.6784287571
2024-05-12 03:30:00,-352613980499.2954,1036110865280.6096,1169605882463.2449,-27982668.191558342,82223473.76852961,92817354.28691602,12234206315.919374,970968.6784287571
2024-05-12 04:00:00,-402982783244.10034,1184113118063.9626,1336677120179.6934,-27982668.19155828,82223473.76852943,92817354.28691581,13981949937.091137,970968.6784287571
2024-05-12 04:30:00,-453351585988.9052,1332115370847.3154,1503748357896.1416,-27982668.19155823,82223473.7685293,92817354.28691566,15729693558.2629,970968.6784287571
2024-05-12 05:00:00,-503720388733.70996,1480117623630.6682,1670819595612.5898,-27982668.191558193,82223473.76852919,92817354.28691554,17477437179.43466,970968.6784287571
2024-05-12 05:30:00,-554089191478.5146,1628119876414.0208,1837890833329.0378,-27982668.191558164,82223473.7685291,92817354.28691544,19225180800.606426,970968.6784287571
2024-05-12 06:00:00,-604457994223.3193,1776122129197.373,2004962071045.4856,-27982668.191558138,82223473.76852903,92817354.28691535,20972924421.77819,970968.6784287571
2024-05-12 06:30:00,-654826796968.124,1924124381980.7253,2172033308761.933,-27982668.191558115,82223473.76852897,92817354.28691527,22720668042.949955,970968.6784287571
2024-05-12 07:00:00,-705195599712.9286,2072126634764.0774,2339104546478.3804,-27982668.191558097,82223473.76852891,92817354.28691521,24468411664.12172,970968.6784287571
2024-05-12 07:30:00,-755564402457.7332,2220128887547.429,2506175784194.8276,-27982668.19155808,82223473.76852886,92817354.28691517,26216155285.293484,970968.6784287571
2024-05-12 08:00:00,-805933205202.5377,2368131140330.7812,2673247021911.275,-27982668.191558067,82223473.76852882,92817354.28691512,27963898906.46525,970968.6784287571
2024-05-12 08:30:00,-856302007947.3423,2516133393114.1333,2840318259627.722,-27982668.191558056,82223473.76852879,92817354.28691508,29711642527.637012,970968.6784287571
2024-05-12 09:00:00,-906670810692.1467,2664135645897.4854,3007389497344.1694,-27982668.191558044,82223473.76852876,92817354.28691505,31459386148.808777,970968.6784287571
2024-05-12 09:30:00,-957039613436.9512,2812137898680.837,3174460735060.6167,-27982668.191558037,82223473.76852873,92817354.28691502,33207129769.98054,970968.6784287571
2024-05-12 10:00:00,-1007408416181.7556,2960140151464.1885,3341531972777.0635,-27982668.19155803,82223473.7685287,92817354.28691499,34954873391.152306,970968.6784287571
2024-05-12 10:30:00,-1057777218926.56,3108142404247.54,3508603210493.5103,-27982668.191558022,82223473.76852868,92817354.28691496,36702617012.324066,970968.6784287571
2024-05-12 11:00:00,-1108146021671.3645,3256144657030.8916,3675674448209.957,-27982668.191558015,82223473.76852867,92817354.28691493,38450360633.49583,970968.6784287571
2024-05-12 11:30:00,-1158514824416.169,3404146909814.243,3842745685926.404,-27982668.191558007,82223473.76852866,92817354.28691491,40198104254.66759,970968.6784287571
2024-05-12 12:00:00,-1208883627160.9734,3552149162597.5947,4009816923642.8506,-27982668.191558,82223473.76852864,92817354.2869149,41945847875.83935,970968.6784287571
2024-05-12 12:30:00,-1259252429905.7778,3700151415380.9463,4176888161359.2974,-27982668.191557996,82223473.76852863,92817354.28691489,43693591497.01111,970968.6784287571
2024-05-12 13:00:00,-1309621232650.5823,3848153668164.298,4343959399075.744,-27982668.191557992,82223473.76852861,92817354.28691487,45441335118.18287,970968.6784287571
2024-05-12 13:30:00,-1359990035395.3867,3996155920947.6494,4511030636792.191,-27982668.19155799,82223473.7685286,92817354.28691486,47189078739.35463,970968.6784287571
